"","x","monthNum","year","date","monthLet","fracTime"
"1",112,1,1949,1949-01-01,"J",1949.08333333333
"2",118,2,1949,1949-02-01,"F",1949.16666666667
"3",132,3,1949,1949-03-01,"M",1949.25
"4",129,4,1949,1949-04-01,"A",1949.33333333333
"5",121,5,1949,1949-05-01,"M",1949.41666666667
"6",135,6,1949,1949-06-01,"J",1949.5
"7",148,7,1949,1949-07-01,"J",1949.58333333333
"8",148,8,1949,1949-08-01,"A",1949.66666666667
"9",136,9,1949,1949-09-01,"S",1949.75
"10",119,10,1949,1949-10-01,"O",1949.83333333333
"11",104,11,1949,1949-11-01,"N",1949.91666666667
"12",118,12,1949,1949-12-01,"D",1950
"13",115,1,1950,1950-01-01,"J",1950.08333333333
"14",126,2,1950,1950-02-01,"F",1950.16666666667
"15",141,3,1950,1950-03-01,"M",1950.25
"16",135,4,1950,1950-04-01,"A",1950.33333333333
"17",125,5,1950,1950-05-01,"M",1950.41666666667
"18",149,6,1950,1950-06-01,"J",1950.5
"19",170,7,1950,1950-07-01,"J",1950.58333333333
"20",170,8,1950,1950-08-01,"A",1950.66666666667
"21",158,9,1950,1950-09-01,"S",1950.75
"22",133,10,1950,1950-10-01,"O",1950.83333333333
"23",114,11,1950,1950-11-01,"N",1950.91666666667
"24",140,12,1950,1950-12-01,"D",1951
"25",145,1,1951,1951-01-01,"J",1951.08333333333
"26",150,2,1951,1951-02-01,"F",1951.16666666667
"27",178,3,1951,1951-03-01,"M",1951.25
"28",163,4,1951,1951-04-01,"A",1951.33333333333
"29",172,5,1951,1951-05-01,"M",1951.41666666667
"30",178,6,1951,1951-06-01,"J",1951.5
"31",199,7,1951,1951-07-01,"J",1951.58333333333
"32",199,8,1951,1951-08-01,"A",1951.66666666667
"33",184,9,1951,1951-09-01,"S",1951.75
"34",162,10,1951,1951-10-01,"O",1951.83333333333
"35",146,11,1951,1951-11-01,"N",1951.91666666667
"36",166,12,1951,1951-12-01,"D",1952
"37",171,1,1952,1952-01-01,"J",1952.08333333333
"38",180,2,1952,1952-02-01,"F",1952.16666666667
"39",193,3,1952,1952-03-01,"M",1952.25
"40",181,4,1952,1952-04-01,"A",1952.33333333333
"41",183,5,1952,1952-05-01,"M",1952.41666666667
"42",218,6,1952,1952-06-01,"J",1952.5
"43",230,7,1952,1952-07-01,"J",1952.58333333333
"44",242,8,1952,1952-08-01,"A",1952.66666666667
"45",209,9,1952,1952-09-01,"S",1952.75
"46",191,10,1952,1952-10-01,"O",1952.83333333333
"47",172,11,1952,1952-11-01,"N",1952.91666666667
"48",194,12,1952,1952-12-01,"D",1953
"49",196,1,1953,1953-01-01,"J",1953.08333333333
"50",196,2,1953,1953-02-01,"F",1953.16666666667
"51",236,3,1953,1953-03-01,"M",1953.25
"52",235,4,1953,1953-04-01,"A",1953.33333333333
"53",229,5,1953,1953-05-01,"M",1953.41666666667
"54",243,6,1953,1953-06-01,"J",1953.5
"55",264,7,1953,1953-07-01,"J",1953.58333333333
"56",272,8,1953,1953-08-01,"A",1953.66666666667
"57",237,9,1953,1953-09-01,"S",1953.75
"58",211,10,1953,1953-10-01,"O",1953.83333333333
"59",180,11,1953,1953-11-01,"N",1953.91666666667
"60",201,12,1953,1953-12-01,"D",1954
"61",204,1,1954,1954-01-01,"J",1954.08333333333
"62",188,2,1954,1954-02-01,"F",1954.16666666667
"63",235,3,1954,1954-03-01,"M",1954.25
"64",227,4,1954,1954-04-01,"A",1954.33333333333
"65",234,5,1954,1954-05-01,"M",1954.41666666667
"66",264,6,1954,1954-06-01,"J",1954.5
"67",302,7,1954,1954-07-01,"J",1954.58333333333
"68",293,8,1954,1954-08-01,"A",1954.66666666667
"69",259,9,1954,1954-09-01,"S",1954.75
"70",229,10,1954,1954-10-01,"O",1954.83333333333
"71",203,11,1954,1954-11-01,"N",1954.91666666667
"72",229,12,1954,1954-12-01,"D",1955
